Temperatura,Presion
1.874507122951685005e+02,4.788120158988648711e+01
1.779260354824322405e+02,4.773292945808073284e+01
1.897153280715103847e+02,4.102178413684992364e+01
2.028454478461203792e+02,4.834954904149281418e+01
1.764876993791499729e+02,5.366414540910872688e+01
1.764879456457622950e+02,4.362883940461602350e+01
2.036881922326108736e+02,5.524241325525296276e+01
1.915115209372936249e+02,5.243887410542168936e+01
1.729578842109757204e+02,4.632883339014480839e+01
1.881384006537894606e+02,4.929235181331076632e+01
1.730487346078130599e+02,5.799160903820516921e+01
1.730140536964461546e+02,5.366773906752933243e+01
1.836294340734905006e+02,5.004391827449073560e+01
1.513007963301330392e+02,4.881158341519508070e+01
3.041262325123045116e+02,2.038304535225829994e+01
1.715656870613854039e+02,4.744118221028848126e+01
1.648075331949836482e+02,3.947625247140492633e+01
1.847137099889291108e+02,6.021088955267365606e+01
1.663796388671818249e+02,5.077662499599700396e+01
1.588154444799706368e+02,5.199073632561268710e+01
2.019847315338233216e+02,4.971046125061545951e+01
7.661335549270197021e+01,8.632441599637706986e+01
1.810129230703188625e+02,4.907037759525614717e+01
1.586287772067981336e+02,4.200302618902844642e+01
1.718342591321222699e+02,6.138543249026652404e+01
1.816638388456480016e+02,4.382744000788802197e+01
1.627350963386654712e+02,4.484016858076410017e+01
1.856354702751850709e+02,4.779870397806799787e+01
1.709904196512179340e+02,5.644037862426188923e+01
1.756245937531008394e+02,5.007254499631326894e+01
1.709744008165590401e+02,4.381932101984769190e+01
2.077841727676340611e+02,5.627169180378669466e+01
1.797975416289309862e+02,5.365500313392740850e+01
1.641343360656615005e+02,5.269217478608226202e+01
1.923381736815478291e+02,5.357867120585419940e+01
1.616873452504346744e+02,6.197180950291225088e+01
1.831329539250713196e+02,6.092547447518056458e+01
1.506049481418033622e+02,4.656642328498352157e+01
1.600772092665235391e+02,5.811942496405576009e+01
1.829529185380368403e+02,5.191584094879450362e+01
1.910769986999311527e+02,5.249547908068874591e+01
1.825705242178495666e+02,4.153864584178335662e+01
1.782652757641763799e+02,4.914807117305902295e+01
1.754834445661606708e+02,4.593588204831717547e+01
1.578221701444885809e+02,5.414029407446654574e+01
1.692023368740793785e+02,5.535540250201402301e+01
1.730904184356031976e+02,3.962756824491844299e+01
1.958568333932837504e+02,4.988982567997864948e+01
1.851542743435269358e+02,5.560930752397126042e+01
1.535543976695589947e+02,4.906660518843277430e+01
1.848612595409219352e+02,5.364531822501182035e+01
1.742237657937552626e+02,5.175582733813541836e+01
1.698461699954106052e+02,5.170830115976313124e+01
1.891751443326130300e+02,4.864342510965851574e+01
1.954649928374392687e+02,4.391709597932145215e+01
1.939692017867429854e+02,4.439234926287485905e+01
1.674117371516604180e+02,5.354676257227658454e+01
1.753618143622317689e+02,5.009729127759441525e+01
1.849689514710534581e+02,4.930743877696387756e+01
1.946331769068353879e+02,4.788054978838823672e+01
1.728123864323206362e+02,4.847405577259624465e+01
1.772151153500427370e+02,5.523455897244069490e+01
1.634049753899095663e+02,4.832377959065986772e+01
1.620569006387899265e+02,4.329467643349215678e+01
1.921878873359129614e+02,5.371825887770086894e+01
2.003436004285623540e+02,4.897561668067641705e+01
1.789198481762950053e+02,5.015697932766388334e+01
1.950529934683803504e+02,5.803789153199755191e+01
1.854245403757145141e+02,4.989719721324746615e+01
1.703232036809231431e+02,5.144591836559362719e+01
1.854209340826262178e+02,4.410538254350836951e+01
2.030705484969895451e+02,4.890165273824519687e+01
1.794626094133507195e+02,5.304763022604300460e+01
2.034696548372101006e+02,4.222313133079379099e+01
1.407038234386538420e+02,5.100422546557854986e+01
1.923285375656283520e+02,5.050395536322402990e+01
1.813057060235725544e+02,5.020643727793719790e+01
1.755148897430119916e+02,5.518579449329121189e+01
1.813764116480325299e+02,5.167219257424260803e+01
1.501864662809866218e+02,5.739035949178222040e+01
1.767049216824373161e+02,4.503205242202982106e+01
1.853566885726762052e+02,5.067962283609173824e+01
2.021684106711227287e+02,5.042233393194973701e+01
1.722259467258952839e+02,4.465372753122459670e+01
1.678725959566021970e+02,5.478147501045673096e+01
1.724736443462319642e+02,6.162336652926408931e+01
1.937310317655310996e+02,4.991496962758084521e+01
1.849312666448952598e+02,5.252510544136883652e+01
1.720535969434944263e+02,5.042259237907663305e+01
1.876990114967003365e+02,4.643207665046411847e+01
1.814561632402206044e+02,4.089619861098992004e+01
1.945296748579933421e+02,4.647113258452317552e+01
1.694692035918397153e+02,4.304020809524133995e+01
1.750850678010334889e+02,5.852051039029559121e+01
1.741183777030176429e+02,4.942445153038380568e+01
1.580472757780182178e+02,4.827040335476414867e+01
1.844418041559686401e+02,5.444576912393903001e+01
1.839158290826983375e+02,4.439124448572056281e+01
1.800767018496369190e+02,4.616567980997723453e+01
1.764811929993728086e+02,5.034036134624310677e+01
1.587694388692437997e+02,5.514384495711740186e+01
1.736903201585196257e+02,5.250842522584394345e+01
1.748592822520984669e+02,5.124162571257941323e+01
1.679658409616757240e+02,5.039058867618008009e+01
1.775807143250098648e+02,5.200117927763387371e+01
1.860607628522180903e+02,5.100826452564627544e+01
2.082927885181579484e+02,4.485013862611532431e+01
1.826186671924775737e+02,5.023039610816575617e+01
